Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-06-09,1844.93,1854.77,1825.0,1839.61,1930535.751,ETH,3552821831.1683,1864032,5.2136666666666665e-05,50.0,430421503.0643882,387084.0,30334803.515606057,1d
2023-06-10,1839.61,1844.8,1712.08,1750.64,5551171.332,ETH,9774108050.69357,4207698,4.403333333333333e-05,49.0,,,,1d
2023-06-11,1750.65,1778.36,1737.29,1751.8,2030813.582,ETH,3559919133.52975,2005358,3.4886666666666666e-05,47.0,,,,1d
2023-06-12,1751.8,1759.32,1717.5,1741.61,2615423.791,ETH,4546659536.76596,2493537,6.686000000000001e-05,47.0,399859029.4740175,370634.0,26511537.377856184,1d
2023-06-13,1741.6,1766.53,1722.53,1739.24,2978916.867,ETH,5193391874.7618,2661438,5.943e-05,45.0,,,,1d
2023-06-14,1739.24,1749.65,1625.5,1650.18,3962845.762,ETH,6743167988.43778,3011779,4.4829999999999996e-05,46.0,,,,1d
2023-06-15,1650.19,1680.0,1625.56,1665.64,3284979.384,ETH,5417639691.08114,2694714,-4.224666666666666e-05,41.0,385148460.1631553,423069.0,24289275.439930815,1d
2023-06-16,1665.64,1730.0,1644.65,1717.31,3099475.105,ETH,5225967567.41919,2642700,-4.832666666666667e-05,47.0,,,,1d
2023-06-17,1717.31,1775.0,1713.38,1727.2,2161730.858,ETH,3756474597.35009,1966345,5.522e-05,47.0,,,,1d
2023-06-18,1727.19,1747.5,1710.77,1719.99,1638597.358,ETH,2834954534.14003,1617954,1.2373333333333332e-05,49.0,392955523.5448409,439868.0,25864498.312777586,1d
2023-06-19,1719.99,1753.0,1689.29,1736.21,2591602.407,ETH,4467229390.33761,2337219,3.9983333333333334e-05,47.0,,,,1d
2023-06-20,1736.2,1796.84,1713.57,1791.37,3466422.973,ETH,6080886439.10825,3113824,1.1806666666666665e-05,49.0,,,,1d
2023-06-21,1791.37,1901.6,1786.56,1888.31,5330798.831,ETH,9829732060.96629,4491068,3.5940000000000005e-05,59.0,314884889.72798514,363280.0,23415578.90437153,1d
2023-06-22,1888.3,1933.7,1862.0,1871.36,3137860.418,ETH,5950906236.05417,3050141,0.0001,65.0,,,,1d
2023-06-23,1871.37,1938.48,1859.96,1892.2,3405962.433,ETH,6453773157.88428,3157195,8.096e-05,65.0,,,,1d
2023-06-24,1892.2,1905.6,1863.0,1874.48,1763224.894,ETH,3321937126.86462,1924133,7.804666666666667e-05,62.0,379943751.2420316,361437.0,29007262.104907636,1d
2023-06-25,1874.47,1929.96,1867.84,1898.27,2781158.136,ETH,5289332862.49297,2826509,0.0001,64.0,,,,1d
2023-06-26,1898.26,1909.32,1836.0,1858.14,3400509.135,ETH,6370416998.95966,3162920,8.063666666666667e-05,55.0,,,,1d
2023-06-27,1858.14,1912.65,1854.14,1889.05,2829280.124,ETH,5325411157.57672,2751693,3.9659999999999996e-05,59.0,364329624.47866035,434858.0,27695094.94705815,1d
2023-06-28,1889.05,1889.65,1811.89,1827.26,3088158.07,ETH,5721684180.26515,2614615,5.358333333333333e-05,62.0,,,,1d
2023-06-29,1827.26,1879.98,1827.02,1851.19,2244626.491,ETH,4161267238.70473,2066231,4.228333333333334e-05,54.0,,,,1d
2023-06-30,1851.18,1947.31,1820.0,1933.41,5961506.278,ETH,11262001146.78503,4411637,7.988333333333333e-05,56.0,397786579.2301125,445197.0,31268571.422430255,1d
2023-07-01,1933.42,1944.69,1908.55,1924.08,1584006.709,ETH,3044484799.23761,1625797,0.0001,59.0,,,,1d
2023-07-02,1924.08,1964.0,1883.55,1937.69,2602287.765,ETH,5000254512.61926,2103960,0.0001,63.0,,,,1d
2023-07-03,1937.69,1978.0,1933.04,1955.0,2783862.146,ETH,5455730800.61678,2360367,0.0001,62.0,344916211.10459125,328114.0,27990140.909918316,1d
2023-07-04,1955.0,1967.91,1930.37,1935.72,1913551.422,ETH,3733154567.49133,1669357,0.0001,64.0,,,,1d
2023-07-05,1935.72,1942.22,1892.9,1909.88,2290593.319,ETH,4386390984.97652,1992180,0.0001,61.0,,,,1d
2023-07-06,1909.88,1957.94,1844.47,1844.82,4219617.366,ETH,8025247594.29251,3152119,7.592666666666667e-05,56.0,349951484.25940275,392688.0,27125275.64271407,1d
2023-07-07,1844.81,1877.51,1823.74,1870.0,2150375.881,ETH,3994359583.46465,1880387,4.4653333333333335e-05,55.0,,,,1d
2023-07-08,1870.0,1873.1,1841.28,1864.45,1144653.748,ETH,2127599970.73217,1140915,1.572666666666667e-05,58.0,,,,1d
2023-07-09,1864.45,1878.98,1855.2,1861.81,1315813.529,ETH,2455983243.42244,1242924,3.0946666666666666e-05,55.0,425480581.581576,594265.0,33188679.628863256,1d
2023-07-10,1861.81,1904.96,1845.09,1879.34,2457486.761,ETH,4599947109.42808,1893733,4.809666666666666e-05,56.0,,,,1d
2023-07-11,1879.35,1892.32,1861.1,1877.66,1690867.909,ETH,3168583574.5677,1481905,6.576333333333333e-05,57.0,,,,1d
2023-07-12,1877.66,1901.86,1863.15,1870.81,2514859.274,ETH,4739014879.90064,2096738,8.536666666666666e-05,64.0,382989765.58074266,478320.0,28532856.624235082,1d
2023-07-13,1870.82,2014.8,1861.59,2004.78,5072952.783,ETH,9872664104.00889,3321989,7.299999999999993e-07,57.0,,,,1d
2023-07-14,2004.77,2031.28,1896.8,1936.74,4202754.58,ETH,8269315805.5465,3071455,0.0001,60.0,,,,1d
2023-07-15,1936.74,1945.89,1925.54,1930.4,1111948.993,ETH,2150367734.53819,1118661,5.590333333333334e-05,56.0,369831574.5386234,484980.0,27066441.91831429,1d
2023-07-16,1930.4,1942.78,1912.09,1920.97,1270216.239,ETH,2450221634.39045,1207129,4.7846666666666664e-05,57.0,,,,1d
